id,tier,layer,expert,early_only_runs,active_runs,total_early_count,total_later_count,evictable_human_after_prefix,trim_decision,personal_classification
L08.E054,tier_0_all_timelines,8,54,13,13,49,0,3.19 MiB,keep,ordinary
L26.E093,tier_0_all_timelines,26,93,13,13,42,0,3.19 MiB,keep,ordinary
L09.E029,tier_0_all_timelines,9,29,13,13,39,0,3.19 MiB,keep,ordinary
L16.E025,tier_0_all_timelines,16,25,13,13,30,0,3.19 MiB,keep,ordinary
L02.E025,tier_0_all_timelines,2,25,13,13,26,0,3.19 MiB,keep,ordinary
L00.E036,tier_0_all_timelines,0,36,13,13,13,0,3.19 MiB,keep,ordinary
L04.E083,tier_0_all_timelines,4,83,13,13,13,0,3.19 MiB,keep,ordinary
L05.E096,tier_0_all_timelines,5,96,13,13,13,0,3.19 MiB,keep,ordinary
L27.E086,tier_0_all_timelines,27,86,13,13,13,0,3.19 MiB,keep,ordinary
L02.E034,tier_1_frequent,2,34,10,10,10,0,3.19 MiB,keep,ordinary
L17.E079,tier_1_frequent,17,79,9,9,9,0,3.19 MiB,keep,ordinary
L22.E000,tier_1_frequent,22,0,9,9,9,0,3.19 MiB,keep,ordinary
L22.E117,tier_1_frequent,22,117,9,9,9,0,3.19 MiB,keep,ordinary
L15.E084,tier_1_frequent,15,84,8,8,8,0,3.19 MiB,keep,ordinary
L28.E099,tier_1_frequent,28,99,7,7,9,0,3.19 MiB,keep,ordinary
L12.E104,tier_1_frequent,12,104,6,6,6,0,3.19 MiB,keep,ordinary
L13.E087,tier_1_frequent,13,87,6,6,6,0,3.19 MiB,keep,ordinary
L16.E058,tier_2_sparse,16,58,5,5,6,0,3.19 MiB,keep,ordinary
L27.E013,tier_2_sparse,27,13,5,5,6,0,3.19 MiB,keep,ordinary
L05.E035,tier_2_sparse,5,35,5,5,5,0,3.19 MiB,keep,low_use_merge_candidate
L14.E010,tier_2_sparse,14,10,5,5,5,0,3.19 MiB,keep,ordinary
L15.E036,tier_2_sparse,15,36,5,5,5,0,3.19 MiB,keep,low_use_merge_candidate
L17.E081,tier_2_sparse,17,81,5,5,5,0,3.19 MiB,keep,ordinary
L20.E000,tier_2_sparse,20,0,5,5,5,0,3.19 MiB,keep,ordinary
L16.E009,tier_2_sparse,16,9,4,4,4,0,3.19 MiB,keep,ordinary
L23.E001,tier_2_sparse,23,1,4,4,4,0,3.19 MiB,keep,ordinary
L18.E064,tier_2_sparse,18,64,3,3,4,0,3.19 MiB,keep,ordinary
L23.E086,tier_2_sparse,23,86,3,3,4,0,3.19 MiB,keep,ordinary
L07.E121,tier_2_sparse,7,121,3,3,3,0,3.19 MiB,keep,ordinary
L16.E082,tier_2_sparse,16,82,2,2,2,0,3.19 MiB,needs_more_data,cold_trim_candidate
L27.E105,tier_2_sparse,27,105,2,2,2,0,3.19 MiB,keep,ordinary
L06.E054,tier_2_sparse,6,54,1,1,1,0,3.19 MiB,keep,low_use_merge_candidate
L08.E100,tier_2_sparse,8,100,1,1,1,0,3.19 MiB,keep,low_use_merge_candidate
L09.E116,tier_2_sparse,9,116,1,1,1,0,3.19 MiB,keep,low_use_merge_candidate
L10.E024,tier_2_sparse,10,24,1,1,1,0,3.19 MiB,needs_more_data,cold_trim_candidate
L11.E026,tier_2_sparse,11,26,1,1,1,0,3.19 MiB,keep,ordinary
L14.E003,tier_2_sparse,14,3,1,1,1,0,3.19 MiB,needs_more_data,cold_trim_candidate
L14.E109,tier_2_sparse,14,109,1,1,1,0,3.19 MiB,keep,ordinary
L15.E110,tier_2_sparse,15,110,1,1,1,0,3.19 MiB,keep,ordinary
L17.E008,tier_2_sparse,17,8,1,1,1,0,3.19 MiB,keep,low_use_merge_candidate
L22.E002,tier_2_sparse,22,2,1,1,1,0,3.19 MiB,needs_more_data,cold_trim_candidate
L24.E012,tier_2_sparse,24,12,1,1,1,0,3.19 MiB,keep,ordinary
L25.E115,tier_2_sparse,25,115,1,1,1,0,3.19 MiB,keep,ordinary
L26.E063,tier_2_sparse,26,63,1,1,1,0,3.19 MiB,keep,ordinary
L28.E078,tier_2_sparse,28,78,1,1,1,0,3.19 MiB,keep,ordinary
L29.E068,tier_2_sparse,29,68,1,1,1,0,3.19 MiB,keep,ordinary
L00.E019,tier_3_never_active,0,19,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L00.E023,tier_3_never_active,0,23,0,0,0,0,3.19 MiB,keep,ordinary
L00.E042,tier_3_never_active,0,42,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L00.E043,tier_3_never_active,0,43,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L00.E057,tier_3_never_active,0,57,0,0,0,0,3.19 MiB,keep,ordinary
L00.E082,tier_3_never_active,0,82,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L00.E093,tier_3_never_active,0,93,0,0,0,0,3.19 MiB,keep,ordinary
